track,raw_feature,model_feature,stage,decision
LAB_AWARE,Mictions fréquentes.(Frequent Urination),Mictions fréquentes.(Frequent Urination),T0_intake,pre_lab
LAB_AWARE,Constipation,Constipation,T0_intake,pre_lab
LAB_AWARE,Oligurie (Oliguria),Oligurie (Oliguria),T0_intake,pre_lab
LAB_AWARE,Mictions fréquentes. (Frequent Urination),Mictions fréquentes. (Frequent Urination),T0_intake,pre_lab
LAB_AWARE,Prostration,Prostration,T0_intake,pre_lab
LAB_AWARE,Ictère (Icterus),Ictère (Icterus),T0_intake,pre_lab
LAB_AWARE,Epistaxis ((Bleeding nose),Epistaxis ((Bleeding nose),T0_intake,pre_lab
LAB_AWARE,Convulsions généralisées ou focales (Generalised or focal convulsion),Convulsions généralisées ou focales (Generalised or focal convulsion),T0_intake,pre_lab
LAB_AWARE,Convulsions multiples (Multiple convulsions),Convulsions multiples (Multiple convulsions),T0_intake,pre_lab
LAB_AWARE,Délire,Délire,T0_intake,pre_lab
LAB_AWARE,Confusion/ niveau de conscience altéré (impaired level of consciousness),Confusion/ niveau de conscience altéré (impaired level of consciousness),T0_intake,pre_lab
LAB_AWARE,Gonflement du visage (Facial Swelling),Gonflement du visage (Facial Swelling),T0_intake,pre_lab
LAB_AWARE,Délire /Discours irrationnel (Delirium/ Irrational Talking),Délire /Discours irrationnel (Delirium/ Irrational Talking),T0_intake,pre_lab
LAB_AWARE,Hémoglobinurie (Hemoglobinuria),Hémoglobinurie (Hemoglobinuria),T0_intake,pre_lab
LAB_AWARE,Goût amer dans la gorge (Bitter taste in your Throat),Goût amer dans la gorge (Bitter taste in your Throat),T0_intake,pre_lab
LAB_AWARE,Test de garrot positif (Positive tourniquet test),Test de garrot positif (Positive tourniquet test),T0_intake,pre_lab
LAB_AWARE,Raideur (Stiffness),Raideur (Stiffness),T0_intake,pre_lab
LAB_AWARE,Détresse respiratoire (Respiratory distress),Détresse respiratoire (Respiratory distress),T0_intake,pre_lab
LAB_AWARE,Choc septique (Shock),Choc septique (Shock),T0_intake,pre_lab
LAB_AWARE,Hépatomégalie (Hepatomegaly),Hépatomégalie (Hepatomegaly),T0_intake,pre_lab
LAB_AWARE,Insuffisance cardiaque  ou Myocardite(Heart failure or Myocarditis),Insuffisance cardiaque  ou Myocardite(Heart failure or Myocarditis),T0_intake,pre_lab
LAB_AWARE,Accumulation de liquide et détresse respiratoire (Accumulation of fluid and respiratory distress),Accumulation de liquide et détresse respiratoire (Accumulation of fluid and respiratory distress),T0_intake,pre_lab
LAB_AWARE,Splénomégalie modérée,Splénomégalie modérée,T0_intake,pre_lab
LAB_AWARE,Choc septique (Septicemia),Choc septique (Septicemia),T0_intake,pre_lab
LAB_AWARE,Syndrome d'icterus subaigu (Sub-icterus),Syndrome d'icterus subaigu (Sub-icterus),T0_intake,pre_lab
LAB_AWARE,Lymphadénopathie / Lymphadenopa thy,Lymphadénopathie / Lymphadenopa thy,T0_intake,pre_lab
LAB_AWARE,Température axillaire (médiane IQR) (°C) /Axillary temperature (median IQR) (°C),Température axillaire (médiane IQR) (°C) /Axillary temperature (median IQR) (°C),T1_vital,pre_lab
