label,feature,importance_mean,importance_std
other_diseases,Toux (Cough),0.00085,0.00177
other_diseases,"Haute température.(temperature, Hyperpyrexia)",0.00084,0.00076
other_diseases,Somnolence ou léthargie  (Drowsiness or lethargy),0.0008,0.00123
other_diseases,Test de garrot positif (Positive tourniquet test),0.00076,0.00038
other_diseases,Poids (Weight)__missing,0.00075,0.00056
other_diseases,Céphalée (Headache),0.00028,0.00062
other_diseases,gender_female,9e-05,0.00028
other_diseases,Âge (Age),9e-05,0.00028
other_diseases,Poids (Weight),0.0,0.0
other_diseases,Circonference du bras (Mua circumference),0.0,0.0
other_diseases,Fièvre au cours des 7 derniers jours (Fever in the last 7 days),0.0,0.0
other_diseases,Perte de poids (Loss of Weight),0.0,0.0
other_diseases,Nausée (Nausea),0.0,0.0
other_diseases,Vomissement (Vomiting),0.0,0.0
other_diseases,Gonflement des articulations (Joint Swelling),0.0,0.0
other_diseases,Mal de dos / Douleur rachidienne ( Back pain / Rachiodynia),0.0,0.0
other_diseases,Troubles de la conscience (Consciousness trouble),0.0,0.0
other_diseases,Éruptions cutanées ou Exanthème (Skin rash or Exanthema),0.0,0.0
other_diseases,Éruption morbilliforme (Morbilliform rash),0.0,0.0
other_diseases,Saignement/ Manifestations hémorragiques (Bleeding),0.0,0.0
other_diseases,Rhinorrhée (Rhinorrhea),0.0,0.0
other_diseases,Vertige (Dizzy),0.0,0.0
other_diseases,Mal de gorge (throat pain),0.0,0.0
other_diseases,Diarrhée  (Diarrhea),0.0,0.0
other_diseases,Douleur rétro-orbitrale (Retro-orbital pain),0.0,0.0
other_diseases,Mictions fréquentes.(Frequent Urination),0.0,0.0
other_diseases,Constipation,0.0,0.0
other_diseases,Mictions fréquentes. (Frequent Urination),0.0,0.0
other_diseases,Ictère (Icterus),0.0,0.0
other_diseases,Epistaxis ((Bleeding nose),0.0,0.0
other_diseases,Convulsions multiples (Multiple convulsions),0.0,0.0
other_diseases,Délire,0.0,0.0
other_diseases,Confusion/ niveau de conscience altéré (impaired level of consciousness),0.0,0.0
other_diseases,Gonflement du visage (Facial Swelling),0.0,0.0
other_diseases,Délire /Discours irrationnel (Delirium/ Irrational Talking),0.0,0.0
other_diseases,Hémoglobinurie (Hemoglobinuria),0.0,0.0
other_diseases,Goût amer dans la gorge (Bitter taste in your Throat),0.0,0.0
other_diseases,Raideur (Stiffness),0.0,0.0
other_diseases,Choc septique (Shock),0.0,0.0
other_diseases,Hépatomégalie (Hepatomegaly),0.0,0.0
other_diseases,Insuffisance cardiaque  ou Myocardite(Heart failure or Myocarditis),0.0,0.0
other_diseases,Accumulation de liquide et détresse respiratoire (Accumulation of fluid and respiratory distress),0.0,0.0
other_diseases,Splénomégalie modérée,0.0,0.0
other_diseases,Choc septique (Septicemia),0.0,0.0
other_diseases,Syndrome d'icterus subaigu (Sub-icterus),0.0,0.0
other_diseases,Lymphadénopathie / Lymphadenopa thy,0.0,0.0
other_diseases,Température axillaire (médiane IQR) (°C) /Axillary temperature (median IQR) (°C),0.0,0.0
